DateTime,Date,pH,GlobalLightEnergy(W.m2),Temp(C),DO (mg.L),DO (%sat),Sal (g.L),Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,Harvest Vol (L),AFDW (g/L),AFDW (g)
2014-09-10 08:44:00,09-10-2014,8.06,295.68,18.61,9.08,138,33.5,26.36,23.76,16.35,768.75,0.523333333,402.3125
2014-09-10 08:58:00,09-10-2014,8.2,264.85,15.27,6.15,94,33.4,43.86,10.77,6.26,768.75,0.363333333,279.3125
2014-09-10 09:14:00,09-10-2014,7.51,295.35,15.02,6.05,93,33.5,44.32,13.09,8.45,768.75,0.37,284.4375
2014-09-10 09:29:00,09-10-2014,7.58,283.52,17.53,5.95,92,33.5,43.07,11.17,8.18,768.75,0.45333333299999995,348.5
2014-09-10 09:43:00,09-10-2014,7.65,295.59,18.79,5.95,92,33.5,43.35,13.77,6.44,871.25,0.425555556,370.7652778
2014-09-10 09:59:00,09-10-2014,7.67,300.26,18.77,5.91,92,33.5,43.4,13.52,7.65,871.25,0.48166666700000005,419.6520833000001
2014-09-10 10:14:00,09-10-2014,7.72,299.51,21.24,5.88,92,33.5,44.66,14.34,7.81,1025.0,0.4275,438.1875
2014-09-10 10:28:00,09-10-2014,7.73,305.25,23.31,5.83,91,33.5,43.27,15.0,5.92,512.5,0.493333333,252.83333330000002
2014-09-10 10:44:00,09-10-2014,7.73,281.07,24.11,5.77,91,33.5,45.19,14.11,7.79,256.25,0.314166667,80.50520833
2014-09-10 10:59:00,09-10-2014,7.35,306.25,25.38,5.77,91,33.7,44.38,14.21,8.15,256.25,0.33888888899999997,86.84027778
2014-09-10 11:13:00,09-10-2014,7.33,261.95,26.58,7.16,114,33.7,44.78,14.07,5.88,256.25,0.317777778,81.43055556
2014-09-10 11:29:00,09-10-2014,7.36,288.89,24.09,7.74,124,33.6,44.85,13.29,8.22,256.25,0.341111111,87.40972222
2014-09-10 11:44:00,09-10-2014,7.67,305.95,22.81,8.37,134,33.4,43.09,13.34,8.18,256.25,0.36666666700000006,93.95833333
2014-09-10 11:58:00,09-10-2014,7.76,318.16,23.23,8.69,140,33.3,45.8,14.73,6.4,256.25,0.355555556,91.11111111
2014-09-10 12:14:00,09-10-2014,7.83,302.71,22.42,8.88,144,33.3,45.72,16.78,8.64,256.25,0.337777778,86.55555556
2014-09-10 12:29:00,09-10-2014,7.88,316.45,23.21,8.86,144,33.2,44.22,14.58,8.6,256.25,0.415,106.34375
2014-09-10 12:43:00,09-10-2014,7.94,309.66,25.13,8.92,146,33.2,44.36,17.94,5.79,256.25,0.4,102.5
2014-09-10 12:59:00,09-10-2014,7.99,106.41,22.82,8.66,142,33.3,44.23,16.31,8.07,256.25,0.37222222200000005,95.38194444
2014-09-10 13:14:00,09-10-2014,7.85,182.83,22.64,8.62,142,33.2,44.34,15.39,7.21,256.25,0.41444444399999997,106.2013889
2014-09-10 13:28:00,09-10-2014,7.89,309.77,24.52,8.62,142,33.2,41.98,14.55,6.66,440.75,0.4,176.3
2014-09-10 13:44:00,09-10-2014,7.96,314.57,26.54,8.66,143,33.3,41.76,16.44,7.04,410.0,0.333333333,136.66666669999998
2014-09-10 13:59:00,09-10-2014,7.84,302.88,27.37,8.65,143,33.3,41.85,17.23,7.01,410.0,0.37777777799999995,154.88888889999998
2014-09-10 14:13:00,09-10-2014,7.88,323.44,24.09,8.73,145,33.2,41.5,17.47,6.55,440.75,0.35,154.2625
2014-09-10 14:29:00,09-10-2014,7.92,324.02,22.96,8.8,146,33.3,42.34,17.3,6.88,410.0,0.29,118.9
2014-09-10 14:44:00,09-10-2014,7.81,293.14,24.7,8.71,145,33.4,42.06,21.82,6.26,1025.0,0.43,440.75
2014-09-10 14:58:00,09-10-2014,7.86,199.26,19.25,8.77,146,33.5,42.43,18.93,8.07,768.75,0.47444444399999997,364.7291667
2014-09-10 15:14:00,09-10-2014,7.91,318.95,18.73,8.79,147,33.5,42.14,19.74,8.37,768.75,0.37222222200000005,286.1458333
2014-09-10 15:29:00,09-10-2014,7.96,325.45,22.22,8.78,146,33.6,42.07,14.89,8.66,768.75,0.378888889,291.2708333
2014-09-10 15:43:00,09-10-2014,8.02,338.8,23.98,8.35,139,33.6,40.47,17.87,8.03,768.75,0.46,353.625
2014-09-10 15:59:00,09-10-2014,7.41,337.58,24.11,8.78,145,33.7,43.4,16.2,8.31,871.25,0.435555556,379.4777778
