DateTime,Date,pH,GlobalLightEnergy(W.m2),Temp(C),DO (mg.L),DO (%sat),Sal (g.L),Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,Harvest Vol (L),AFDW (g/L),AFDW (g)
09-10-2014 08:44,09-10-2014,8.06,295.68,18.61,9.08,138,33.5,26.36,23.76,16.35,768.75,0.523333333,402.3125
09-10-2014 08:58,09-10-2014,8.2,264.85,15.27,6.15,94,33.4,43.86,10.77,6.26,768.75,0.363333333,279.3125
09-10-2014 09:14,09-10-2014,7.51,295.35,15.02,6.05,93,33.5,44.32,13.09,8.45,768.75,0.37,284.4375
09-10-2014 09:29,09-10-2014,7.58,283.52,17.53,5.95,92,33.5,43.07,11.17,8.18,768.75,0.453333333,348.5
09-10-2014 09:43,09-10-2014,7.65,295.59,18.79,5.95,92,33.5,43.35,13.77,6.44,871.25,0.425555556,370.7652778
09-10-2014 09:59,09-10-2014,7.67,300.26,18.77,5.91,92,33.5,43.4,13.52,7.65,871.25,0.481666667,419.6520833
09-10-2014 10:14,09-10-2014,7.72,299.51,21.24,5.88,92,33.5,44.66,14.34,7.81,1025,0.4275,438.1875
09-10-2014 10:28,09-10-2014,7.73,305.25,23.31,5.83,91,33.5,43.27,15,5.92,512.5,0.493333333,252.8333333
09-10-2014 10:44,09-10-2014,7.73,281.07,24.11,5.77,91,33.5,45.19,14.11,7.79,256.25,0.314166667,80.50520833
09-10-2014 10:59,09-10-2014,7.35,306.25,25.38,5.77,91,33.7,44.38,14.21,8.15,256.25,0.338888889,86.84027778
09-10-2014 11:13,09-10-2014,7.33,261.95,26.58,7.16,114,33.7,44.78,14.07,5.88,256.25,0.317777778,81.43055556
09-10-2014 11:29,09-10-2014,7.36,288.89,24.09,7.74,124,33.6,44.85,13.29,8.22,256.25,0.341111111,87.40972222
09-10-2014 11:44,09-10-2014,7.67,305.95,22.81,8.37,134,33.4,43.09,13.34,8.18,256.25,0.366666667,93.95833333
09-10-2014 11:58,09-10-2014,7.76,318.16,23.23,8.69,140,33.3,45.8,14.73,6.4,256.25,0.355555556,91.11111111
09-10-2014 12:14,09-10-2014,7.83,302.71,22.42,8.88,144,33.3,45.72,16.78,8.64,256.25,0.337777778,86.55555556
09-10-2014 12:29,09-10-2014,7.88,316.45,23.21,8.86,144,33.2,44.22,14.58,8.6,256.25,0.415,106.34375
09-10-2014 12:43,09-10-2014,7.94,309.66,25.13,8.92,146,33.2,44.36,17.94,5.79,256.25,0.4,102.5
09-10-2014 12:59,09-10-2014,7.99,106.41,22.82,8.66,142,33.3,44.23,16.31,8.07,256.25,0.372222222,95.38194444
09-10-2014 13:14,09-10-2014,7.85,182.83,22.64,8.62,142,33.2,44.34,15.39,7.21,256.25,0.414444444,106.2013889
09-10-2014 13:28,09-10-2014,7.89,309.77,24.52,8.62,142,33.2,41.98,14.55,6.66,440.75,0.4,176.3
09-10-2014 13:44,09-10-2014,7.96,314.57,26.54,8.66,143,33.3,41.76,16.44,7.04,410,0.333333333,136.6666667
09-10-2014 13:59,09-10-2014,7.84,302.88,27.37,8.65,143,33.3,41.85,17.23,7.01,410,0.377777778,154.8888889
09-10-2014 14:13,09-10-2014,7.88,323.44,24.09,8.73,145,33.2,41.5,17.47,6.55,440.75,0.35,154.2625
09-10-2014 14:29,09-10-2014,7.92,324.02,22.96,8.8,146,33.3,42.34,17.3,6.88,410,0.29,118.9
09-10-2014 14:44,09-10-2014,7.81,293.14,24.7,8.71,145,33.4,42.06,21.82,6.26,1025,0.43,440.75
09-10-2014 14:58,09-10-2014,7.86,199.26,19.25,8.77,146,33.5,42.43,18.93,8.07,768.75,0.474444444,364.7291667
09-10-2014 15:14,09-10-2014,7.91,318.95,18.73,8.79,147,33.5,42.14,19.74,8.37,768.75,0.372222222,286.1458333
09-10-2014 15:29,09-10-2014,7.96,325.45,22.22,8.78,146,33.6,42.07,14.89,8.66,768.75,0.378888889,291.2708333
09-10-2014 15:43,09-10-2014,8.02,338.8,23.98,8.35,139,33.6,40.47,17.87,8.03,768.75,0.46,353.625
09-10-2014 15:59,09-10-2014,7.41,337.58,24.11,8.78,145,33.7,43.4,16.2,8.31,871.25,0.435555556,379.4777778
09-10-2014 16:14,09-10-2014,7.52,1,20.9,8.86,146,33.6,41.94,18,8.16,871.25,0.46,400.775
09-10-2014 16:28,09-10-2014,7.62,293.99,25.16,8.88,146,33.6,43.51,26.63,8.06,1025,0.434166667,445.0208333
09-10-2014 16:44,09-10-2014,7.7,190.42,24.86,8.89,146,33.8,43.37,20.94,8.11,512.5,0.498888889,255.6805556
09-10-2014 16:59,09-10-2014,7.77,222.4,25.16,8.79,144,33.8,43.15,24.05,8.26,256.25,0.3175,81.359375
09-10-2014 17:13,09-10-2014,7.83,218.16,25.55,8.71,142,33.9,37.11,17.83,9.94,256.25,0.345555556,88.54861111
09-10-2014 17:29,09-10-2014,7.89,205.7,25.3,8.42,136,33.9,39.81,17.82,9.17,256.25,0.317777778,81.43055556
09-10-2014 17:44,09-10-2014,7.93,144.07,25.09,8.18,132,34,38.35,19,9.68,256.25,0.343333333,87.97916667
09-10-2014 17:58,09-10-2014,7.97,186.44,24.99,7.88,126,34.1,43.74,32.49,7.58,256.25,0.368888889,94.52777778
